borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,notes,borocd,councildist,ct2010,latitude,longitude,precinct,object_id,location_point,_assembly_district,_congress_district,dsny_district,_dsny_section,dsny_zone,senate_district,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,website,app_android,app_ios,bbl,bin
Bronx,Throgs Neck-Schuylerville,SW Throgs Neck Expressway & Randall Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",210,13,2015800,40.82775765,-73.81831449,45,42034,"{'type': 'Point', 'coordinates': [-73.81831449, 40.82775765]}",82,14,BX10,BX102,BX,34,11274,43,5,12,28,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=70,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363762'},,
Brooklyn,Windsor Terrace-South Slope,Prospect Farm,"1194 Prospect Ave, Brooklyn, NY 11218",Prospect Farm,Year Round,"Wednesday and Saturday (Start Time: Wednesday 5:00 PM, Saturday 11:00 AM - End Time:  Wednesday 6:00 PM, Saturday 12:00 PM)",,307,39,3050202,40.654139,-73.976444,72,42488,"{'type': 'Point', 'coordinates': [-73.976444, 40.654139]}",44,10,BKS07,BKS071,BKS,20,17620,9,2,27,45,https://prospectfarm.org/composting/,,,,
Manhattan,Chelsea-Hudson Yards,NW 10 Ave & W 21 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,3,1009901,40.74652449,-74.0051919,10,42356,"{'type': 'Point', 'coordinates': [-74.0051919, 40.74652449]}",75,12,MN04,MN041,MN,47,12074,12,4,10,6,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=327,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364019'},,
Manhattan,Chinatown-Two Bridges,East Broadway & Rutgers Street,"East side of Rutgers St b/w East Broadway & Canal St, on the west side of Straus Sq",NYC Compost Project Hosted by LES Ecology Center,Year Round,Thursday (Start Time: 9:00 AM - End Time:  2:00 PM),,103,1,1000600,40.714243,-73.990163,7,42283,"{'type': 'Point', 'coordinates': [-73.990163, 40.714243]}",65,10,MN03,MN031,MN,27,11723,70,4,32,4,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,,,,
Manhattan,East Harlem (South),Maggie's Magic Garden,"1574 Lexington Ave, New York, NY 10029",Maggie's Magic Garden,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),,111,8,1016600,40.78895766,-73.94920119,23,42419,"{'type': 'Point', 'coordinates': [-73.94920119, 40.78895766]}",68,13,MN11,MN111,MN,29,12426,7,4,35,14,,,,,
Manhattan,East Village,NE 2 Ave & E 2 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",103,2,1003602,40.7249628,-73.99017938,9,42270,"{'type': 'Point', 'coordinates': [-73.99017938, 40.7249628]}",66,10,MN03,MN033,MN,27,11724,70,4,50,5,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=307,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363999'},,
Brooklyn,Prospect Heights,NW Vanderbilt Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",308,35,3016300,40.67785104,-73.96890208,78,42123,"{'type': 'Point', 'coordinates': [-73.96890208, 40.67785104]}",44,10,BKN08,BKN081,BKN,25,13829,16,2,48,50,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=160,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363852'},,
Manhattan,Greenwich Village,NW 4 Ave & E 10 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",102,2,1006100,40.73149652,-73.99051628,9,42255,"{'type': 'Point', 'coordinates': [-73.99051628, 40.73149652]}",66,10,MN02,MN023,MN,27,11724,57,4,50,5,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=297,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363989'},,
Brooklyn,Crown Heights (North),NE Franklin Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",308,35,3030500,40.67509191,-73.95637851,77,42138,"{'type': 'Point', 'coordinates': [-73.95637851, 40.67509191]}",57,9,BKN08,BKN081,BKN,25,13829,16,2,48,49,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=169,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363861'},,
Brooklyn,Crown Heights (North),NE Rochester Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",308,41,3030700,40.67495664,-73.92772514,77,42160,"{'type': 'Point', 'coordinates': [-73.92772514, 40.67495664]}",56,9,BKN08,BKN083,BKN,20,17615,16,2,17,49,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=183,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363875'},,
Queens,Long Island City-Hunters Point,Smiling Hogshead Ranch,"Pearson Pl & Skillman Ave, Queens, NY 11101",Volunteers at Smiling Hogshead Ranch,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),,402,26,4000104,40.7432328,-73.9431336,108,42534,"{'type': 'Point', 'coordinates': [-73.9431336, 40.7432328]}",37,7,QW02,QW023,QW,59,16858,53,3,33,66,smilinghogsheadranch.org,,,,
